私はよく勉強しますから、とても忙しいです。,私はたくさん勉強しますから、とても忙しいです。
私のかぞくはとてもたのしくておもしろいです。,私のかぞくはとてもたのしくておもしろいです。
よくカルドゲムとボルドゲムをします。,よくカードゲームとボードゲームをします。
たとえば、リシはモノポリをするのが大好きでとてもじょうずです。,たとえば、リシはモノポリをするのが大好きで、とてもじょうずです。
みんなおんがくもすきです。,みんなおんがくもすきです。
父はうたうのがじょうすです。,父はうたうのがじょうずです。
私はうたうのが好きですけど、じょうずじゃないです。,私はうたうのが好きですけど、じょうずじゃないです。
母はあまりうたいませんけど、おどるのが好きです。,母はあまりうたいませんけど、おどるのが好きです。
高校の時よくいっしょにあそんでいました。,高校の時よくいっしょにあそんでいました。
私の家ぞくは、四人で、カリフォニアのサンフランシスコにすんでいます。,私の家ぞくは、四人で、カリフォニアのサンフランシスコにすんでいます。
父はたくさんコンピュータの会社につとめていましたけど、今家でコンピュータのゲームを作っています。,父は以前コンピュータの会社につとめていましたけど、今、家でコンピュータのゲームを作っています。
母は大学生の後、会社員でしたけど、今何も仕事をしていません。,母は大学の後、会社員でしたけど、今何も仕事をしていません。
りょうりするのがすきですが、そうじするのがすきじゃないです。,料理するのがすきですが、そうじするのがすきじゃないです。
母はいぬとねこがだいすきです。,母はいぬとねこがだいすきです。
でも、父はペットがきらいですから、いぬかねこがいません。,でも、父はペットがきらいですから、いぬもねこもいません。
ざんねんですね。,ざんねんですね。
おとうとが一人あります。,おとうとが一人います。
高校生で、あたまがよくて、せが高い人です。,高校生で、あたまがよくて、せが高い人です。
コンピュータのゲームはおもしろくて、たのしいと思っていますから、いつもゲームをしています。,コンピュータのゲームはおもしろくて、たのしいと思いますから、いつもゲームをしています。
私はMITの大学生で、今ボストンにすんでいます。,私はMITの大学生で、今ボストンにすんでいます。
りょうにすんでいますから、へやはしずかじゃなくて、とてもにぎやかです。,りょうにすんでいますから、へやはしずかじゃなくて、とてもうるさいです。
たくさん友だちがいます。,たくさん友だちがいます。
それから、毎日友だちといっしょにしょくどうにばんごはんをたべに行っています。,それから、毎日友だちといっしょにしょくどうへ晩ごはんを食べに行っています。
すごくたのしいと思います。,すごくたのしいと思います。
ビデオゲームはしゅみです。,ビデオゲームはしゅみです。
とてもたのしいですよ。,とてもたのしいですよ。
ニンテンドのゲームをするのが大すきです。,任天堂のゲームをするのが大すきです。
よくマリオカートとスーパーマリオをします。,よくマリオカートとスーパーマリオをします。
ともだちとゲームをするのがすきですけど、一人でゲームをするのもすきです。,ともだちとゲームをするのがすきですけど、一人でゲームをするのもすきです。
大学にゲームをたくさんもってきました。,大学にゲームをたくさんもってきました。
でも、あまりひまじゃないです。,でも、あまりひまじゃないです。
私のりょうで、私とゲームをする人がいます。,私のりょうで、私とゲームをする人がいます。
私のりょうの人とゲームをするのが大すきですよ。,私のりょうの人とゲームをするのが大すきですよ。
子どもの時は、ゲームをしていたから、ときどきしゅくだいをしませんでした。,子どもの時は、ゲームをしていたから、ときどきしゅくだいをしませんでした。
今日は、私のかんこく人の友達を紹介します。,今日は、私のかんこく人の友達を紹介します。
友達の名前は、キムさんです。,友達の名前は、キムさんです。
キムさんは、１０年前、MITから卒業したです。,キムさんは、１０年前、MITを卒業しました。
キムさんは、とてもあたまがいいだと思います。,キムさんは、とてもあたまがいいと思います。
キムさんは、今ボストンに住んでいます。,キムさんは、今ボストンに住んでいます。
けっこんしていませんが、ガールフレンドがあります。,けっこんしていませんが、ガールフレンドがいます。
とてもきれいの人です。,とてもきれいな人です。
キムさんの仕事は、せいじの先生です。,キムさんの仕事は、せいじの先生です。
今、ボストン大学におしえるています。,今、ボストン大学でおしえています。
毎日とてもいそがしいだと言っていました。,毎日とてもいそがしいと言っていました。
でも、仕事はとてもおもしろいだと言っていました。,でも、仕事はとてもおもしろいと言っていました。
私はたくさん趣味がすきです。,私はたくさんの趣味があります。
私はサークルのかいちょうです。,私はサークルのかいちょうです。
毎しゅう十二時間ぐらいおどります。,毎しゅう十二時間ぐらいおどります。
サークルに23人あります。,サークルに23人います。
とても楽しくて、おもしろくて、たいへんです。,とても楽しくて、おもしろいですが、たいへんです。
それから、旅行に出かけるのがすきです。,それから、旅行に出かけるのがすきです。
今、２１国に行っていました。,今、２１か国に行きました。
去年の夏、友だちといっしょにタイ国に行きました。,去年の夏、友だちといっしょにタイに行きました。
ヒキングをして、たくさん食べものを食べて、ちょっとおさけを飲みました。,ハイキングをして、たくさん食べものを食べて、ちょっとおさけを飲みました。
とてもあつかったですけど、にぎやかな国でした。,とてもあつかったですけど、にぎやかな国でした。
来月、韓国に行きます。,来月、韓国に行きます。
かぞくが五人います。,かぞくが五人います。
父はフランス語の先生です。,父はフランス語の先生です。
母も先生ですけど、えい語の先生です。,母も先生ですけど、えい語の先生です。
父はせが高くて、めがねをかけています。,父はせが高くて、めがねをかけています。
母はあたまがよくて、しんせつな人です。,母はあたまがよくて、しんせつな人です。
そふとそぼはペンシルベニアにすんでいます。,そふとそぼはペンシルベニアにすんでいます。
いもうとが二人います。,いもうとが二人います。
なまえはエリーゼさんとエミリーさんです。,なまえはエリーゼさんとエミリーさんです。
エミリーさんは大学生で、せんこうは経済です。,エミリーさんは大学生で、せんこうは経済です。
エリーゼさんは高校生で、おもしろいです。,エリーゼさんは高校生で、おもしろい人です。
かみがとてもながいです。,かみがとてもながいです。
せんしょうかぞくはMITに私を見に行きました。,先週、かぞくはMITに私に会いにきました。
私はMARVELがすきですから、かぞくとBLACK PANTHERを見ました。,私はMARVELがすきですから、かぞくとBLACK PANTHERを見ました。
それから、かぞくはピッツバーグにすんでいますから、日曜日にボストンからピッツバーグまでひこうきで帰りました。,それから、かぞくはピッツバーグにすんでいますから、日曜日にボストンからピッツバーグまでひこうきで帰りました。
かぞくがだいすきです。,かぞくがだいすきです。
私のマサチューセッツ工科大学生生活はとても簡単です。,私のマサチューセッツ工科大学での学生生活はとてもシンプルです。
毎日午前八時半ごろ起きて、シャワーを浴びています。,毎日午前八時半ごろ起きて、シャワーを浴びています。
それから、生化学のクラスに行っています。,それから、生化学のクラスに行っています。
たいてい時間がありませんから、朝ごはんを食べません。,たいてい時間がありませんから、朝ごはんを食べません。
しかし、午後十二時ごろ友だちと学生センターに昼ご飯を食べにいっています。,しかし、午後十二時ごろ友だちと学生センターに昼ご飯を食べにいっています。
三時ごろ部屋に帰って、日本語の宿題を始めます。,三時ごろ部屋に帰って、日本語の宿題を始めます。
今年私のクラスはちょっと難しいから、たいてい勉強しています。,今年私のクラスはちょっと難しいから、たいてい勉強しています。
もちろん、自由時間がありません。,もちろん、自由時間がありません。
ときどき、友だちとボストンのチャイナタウンでおいしいスナックを買います。,ときどき、友だちとボストンのチャイナタウンでおいしいスナックを買います。
これ生活はちょっと大変ですけど、嫌いじゃないと思います。,この生活はちょっと大変ですけど、嫌いじゃないと思います。
このは私の簡単日常生活です。,これは私のシンプルな日常生活です。
私はたくさん趣味があります。,私はたくさん趣味があります。
大学生ですから、よくべんきょうしています、あまりひまじゃないです。,大学生ですから、よくべんきょうしているし、あまりひまじゃないです。
でも、ひまな時にあそぶのが好きです。,でも、ひまな時にあそぶのが好きです。
まず、しゃしんをとるのが大好きです。,まず、しゃしんをとるのが大好きです。
十六さいのたんじょうびに、父に大きいカメラをもらって、とてもおもしろいと思いました。,十六さいのたんじょうびに、父に大きいカメラをもらって、とてもおもしろいと思いました。
りょこうの時にいつもカメラをも ってきます。,りょこうの時にいつもカメラをも ってきます。
今ボストンでときどき週末にしゃしんをとります。,今ボストンでときどき週末にしゃしんをとります。
次、ジョギングをするの好きです。,次に、ジョギングをするの好きです。
いちにちおきにチャールズ川のとなりでジョギングをします。,一日おきにチャールズ川のとなりでジョギングをします。
去年、ケンブリッジのハーフマラソン  をしました。,去年、ケンブリッジのハーフマラソン をしました。
さいごに、おでるのが好きです。,さいごに、おどるのが好きです。
MIT Asian Dance Team のさサークルに入っています。,MIT Asian Dance Team のサークルに入っています。
韓国のヒップホップ  をしています。,韓国のヒップホップ  をしています。
毎週水曜日と土曜日と日曜日におどります。,毎週水曜日と土曜日と日曜日におどります。
にぎやかで、たのしいですよ。,にぎやかで、たのしいですよ。
今日は、私の日本語のクラスの先生を紹介します。,今日は、私の日本語のクラスの先生を紹介します。
去年、私は２０２０年の東京のオリンピックを見に行くと思いましたから、MITで日本語の勉強を始まりました。,去年、私は２０２０年の東京のオリンピックを見に行くと思いましたから、MITで日本語の勉強を始めました。
相川先生は日本人で、MITで言語学の研究していますから、私の日本語のクラスの先生をなりました。,相川先生は日本人で、MITで言語学の研究していますから、私の日本語のクラスの先生になりました。
相川先生は背が低くて、眼鏡を掛けています。,相川先生は背が低くて、眼鏡を掛けています。
でも、全然怖くないです。,でも、全然怖くないです。
先生もとても優しくて、辛抱強いと思います。,先生もとても優しくて、辛抱強いと思います。
先生は教えるのが上手で、クラスもとても面白いでしたから、人気がたくさんあります。,先生は教えるのが上手で、クラスもとても面白いですから、とても人気があります。
所で、たくさん学生が日本語のクラスでいて、先生は早くみんなさんの名前を覚えて、凄いでした。,日本語のクラスには、たくさん学生がいましたが、先生は早くみんなの名前を覚えて、凄かったです。
相川先生はMITに勤めているが、Somervilleに住んでいると言っていました。,相川先生はMITに勤めているが、Somervilleに住んでいると言っていました。
それから、毎日電車に乗って、大学に日本語を教えに行きます。,それから、毎日電車に乗って、大学に日本語を教えに行きます。
先生はジョギングが大好きだと言っていました。,先生はジョギングが大好きだと言っていました。
だから、毎日先生はとても元気です。,だから、毎日先生はとても元気です。
私の家ぞくは四人家ぞくです。,私の家ぞくは四人家ぞくです。
母の名まえはキャシーで，今は四十七さいです。,母の名まえはキャシーで，今は四十七さいです。
とてもきれいで、しんせつで、あたまがいい人です。,とてもきれいで、しんせつで、あたまがいい人です。
りょうりするのがじょうずです。,りょうりするのがじょうずです。
母はアメリカの会社につとめています。,母はアメリカの会社につとめています。
父の名まえはトニーで、今は五十五さいです。,父の名まえはトニーで、今は五十五さいです。
せが高くて、ちょっとふとっています。,せが高くて、ちょっとふとっています。
ゴルフをするのが大すきです。,ゴルフをするのが大すきです。
父もアメリカの会社につとめています。,父もアメリカの会社につとめています。
めがねをかけています。,めがねをかけています。
りょうしんはカリフォルニアにすんでいますけど、中国によく行きます。,りょうしんはカリフォルニアにすんでいますけど、中国によく行きます。
あにが一人います。,あにが一人います。
名まえはダニエルで、二十二さいです。,名まえはダニエルで、二十二さいです。
今は大学の四年生ですから、とてもいそがしです。,今は大学の四年生ですから、とてもいそがしいです。
せんこうはコンピューターです。,せんこうはコンピューターです。
今日は、私の中国人の友達を紹介します。,今日は、私の中国人の友達を紹介します。
友達の名前はペンさんです。,友達の名前はペンさんです。
ペンさんもMITの一年生です。,ペンさんもMITの一年生です。
彼の専攻は数学です。,彼の専攻は数学です。
ペンさんは、すごく頭がよくて、静かな人です。,ペンさんは、すごく頭がよくて、静かな人です。
彼は国際数学オリンピックのメダリストです。,彼は国際数学オリンピックのメダリストです。
彼は代数と組合せ数学がとても好きで、上手です。,彼は代数と組合せ数学がとても好きで、上手です。
毎日たくさん数学の問題を解きます。,毎日たくさん数学の問題を解きます。
暇の時、ペンさんはたくさん本を読みます。,暇な時、ペンさんはたくさん本を読みます。
文学も好きですから。,文学も好きですから。
それに、彼をアイススケートとサッカーをします。,それに、彼はアイススケートとサッカーをします。
彼は時々中国語の音楽を聞きますけど、映画を全然見ません。,彼は時々中国語の音楽を聞きますけど、映画を全然見ません。
だから、彼は毎日とても忙しいです。,だから、彼は毎日とても忙しいです。
ペンさんはとても優しいから、私はよく彼に宿題を聞きます。,ペンさんはとても優しいから、私はよく彼に宿題を聞きます。
私の趣味はアイススケートです。,私の趣味はアイススケートです。
去年の十一月にスケートをはじめました。,去年の十一月にスケートをはじめました。
MITのアイススケートのクラスにいました。,MITのアイススケートのクラスにいました。
アイススケートをするのがは難しいと思います。,アイススケートをするのは難しいと思います。
でも楽しから、アイススケートをするのが大好きです。,でも楽しから、アイススケートをするのが大好きです。
今も、アイススケートのクラスにいます。,今も、アイススケートのクラスにいます。
毎週の火曜日、木曜日、と土曜日にMITのZ−Centerでアイススケートをします。,毎週の火曜日、木曜日、と土曜日にMITのZ−Centerでアイススケートをします。
先月、私はアイススケートのくつを買いました。,先月、私はアイススケートのくつを買いました。
スケートをするのが下手ですから、たくさんれんしゅうしたいです。,スケートをするのが下手ですから、たくさんれんしゅうしたいです。
上手になりたいです。,上手になりたいです。
先週は冬のOlympicsをみました。,先週は冬のOlympicsをみました。
日本のフィギュアスケーター羽生結弦を見るのが好きです。,日本のフィギュアスケーター羽生結弦を見るのが好きです。
羽生さんはかっこよくて、しんせつな人です。,羽生さんはかっこよくて、しんせつな人です。
羽生さんは今年のOlympicsで金メダルを勝ちました。,羽生さんは今年のOlympicsで金メダルをとりました。
私は羽生さんの大ファンです。,私は羽生さんの大ファンです。
私のかぞくは五人です。,私のかぞくは五人です。
父は大学につとめていますそれから電気工学をおしえています。,父は大学につとめていて、電気工学をおしえています。
母はかんごふです。,母はかんごふです。
毎日うちに帰る時たくさんストレスがあります。,毎日うちに帰る時たくさんストレスがあります。
兄弟が二人います。,兄弟が二人います。
下のお兄さんは医大でべんきょうしています。,下のお兄さんは医大でべんきょうしています。
上のお兄さんは会社につとめています。,上のお兄さんは会社につとめています。
けっこんしています。,けっこんしています。
おくさんはアメリカ人です。,おくさんはアメリカ人です。
下のおにいさんはけっこんしていません、けどベトナム人のかのじょがいます。,下のおにいさんはけっこんしていませんけど、ベトナム人の彼女がいます。
父はせがたかくてちょっとふとっています、けど毎日うんどうします。,父はせがたかくてちょっとふとっていますけど、毎日うんどうしています。
母はせがひくくてドラマを見るのが大好きです。,母はせがひくくて、ドラマを見るのが大好きです。
下のお兄さんはやせていておもしろくてあたまがいいです。,下のお兄さんはやせていて、おもしろくてあたまがいいです。
上のお兄さんもあたまがいいです、しんせつなひとでもちょっとふとっています。,上のお兄さんもあたまがいいし、しんせつなひとですけど、ちょっとふとっています。
私の趣味はアイススケートです。,私の趣味はアイススケートです。
アイススケートはとても楽しくて、綺麗なスボツだと思います。,アイススケートはとても楽しくて、綺麗なスボーツだと思います。
私はまだアイススケートをするのが上手ていません。,私はまだアイススケートをするのが上手じゃありません。
でも、にか月前にアイススケートの靴は買いましたから。,でも、二ヶ月前にアイススケートの靴は買いましたから。
たくさんアイススケートをしてした。,たくさんアイススケートをしてした。
よく週末に友達とセンターにアイスケートをしに行きます。,よく週末に友達とセンターへアイスケートをしに行きます。
アイススケートを見るのがも大好きです。,アイススケートを見るのも大好きです。
先月に冬のオリンピックがありました。,先月、冬のオリンピックがありました。
たくさんアイススケートの試合を見ました。,たくさんアイススケートの試合を見ました。
羽生結弦は私のお気に入りなスケーターです。,羽生結弦は私のお気に入りのスケーターです。
羽生さんはいいスケーターで、可愛いお男の子だと思います。,羽生さんはいいスケーターで、可愛い男の子だと思います。
私は本当に興奮していました。,私は本当に興奮していました。
羽生結弦は金メタルを獲得しましたから。,羽生結弦は金メタルを獲得しましたから。
私はたくさんさかなのともだちがいます。,私はたくさんさかなのともだちがいます。
でも、いちばんのともだちはさかなじゃないです。,でも、いちばんのともだちはさかなじゃないです。
人間です。,人間です。
あのともだちのなまえはユスラさんです。,あのともだちのなまえはユスラさんです。
おなのひとです。,おんなのひとです。
高校の時にれきしのくらすであいました。,高校の時にれきしのクラスであいました。
くらすでユスラさんは私の近くにすわっていました。,クラスでユスラさんは私の近くにすわっていました。
このいつからいままで、ともだちです。,この時から今まで、ずっとともだちです。
いつもくらすでいしょにてがみをかきましたから、先生は私とユスラがすきじゃなかった。,いつもクラスでいしょにてがみをかきましたから、先生は私とユスラがすきじゃなかったです。
ユスラさんのかみがながくて、めがきれいだ、せがひくいです。,ユスラさんのかみはながくて、めがきれいで、せがひくいです。
ユスラさんはすばらしい人だと思います。,ユスラさんはすばらしい人だと思います。
大学をはじめるから、せんせんユスラさんにはなしません。,大学に入ってから、全然ユスラさんとはなしていません。
私はいつも忙しいです。,私はいつも忙しいです。
ざんねんですね。,ざんねんですね。
ユスラさんはフロリダ州に住んでいます。,ユスラさんはフロリダ州に住んでいます。
てがみをかいたい。,てがみを書きたい。
ユスラさんのたんじょびはにがつ二十八日です。,ユスラさんのたんじょびは二月二十八日です。
今週です。,今週です。
今日は、私の五人家族を紹介します。,今日は、私の五人家族を紹介します。
私の父は今五十歳です。,私の父は今五十歳です。
父はめが大きくて、髪が短いです。,父は目が大きくて、髪が短いです。
父は今祖父と祖母と中国のしずかなまちに住んでいます。,父は今祖父と祖母と中国のしずかなまちに住んでいます。
父は去年まで造船会社に勤めていましたけど、今は何もしません。,父は去年まで造船会社に勤めていましたけど、今は何もしていません。
祖父もわかい時、造船会社に勤めていました。,祖父もわかい時、造船会社に勤めていました。
私は子供の時、父はいつも私と遊びましたから、父はたのしい人だと思いました。,私は子供の時、父はいつも私と遊びんでくれましたから、父はたのしい人だと思いました。
私の母はバージニアに住んでいます。,私の母はバージニアに住んでいます。
あそこの中国のレストランに勤めていますから。,あそこの中国のレストランに勤めていますから。
母はきれいな人で、今四十五歳です。,母はきれいな人で、今四十五歳です。
母はかばんを買うのが大好きです。,母はかばんを買うのが大好きです。
私は子供の時、母はよく私をしかりましたから、母はとてもこわいと思いました。,私は子供の時、母はよく私をしかりましたから、母はとてもこわいと思いました。
でも、今母は親切で、たのし人だと思います。,でも、今母は親切で、たのしい人だと思います。
祖母は料理するのがじょうずです。,祖母は料理するのがじょうずです。
掃除するのもじょうずです。,掃除するのもじょうずです。
毎日午前五時ごろおきて、家を掃除しました。,毎日午前五時ごろおきて、家を掃除しました。
祖母はいつもとても痩せています。,祖母はいつもとても痩せています。
あまり食べ物を食べませんから。,あまり食べ物を食べませんから。
祖父は食べるのが大好きですが、料理するのが下手です。,祖父は食べるのが大好きですが、料理するのが下手です。
毎日たくさん食べました。,毎日たくさん食べました。
私は子供の時、祖父はよく私に物語をつたえました。,私は子供の時、祖父はよく私に物語を話してくれました。
物語はすごくおもしろかったです。,物語はすごくおもしろかったです。
私は伯母とニューヨークに住んでいますが、今MITにいます。,私は伯母とニューヨークに住んでいますが、今MITにいます。
私はあまり家族に会いませんけど、家族のみなが大好きです。,私はあまり家族に会いませんけど、家族のみんなが大好きです。
